Date,Open,High,Low,Close,Adj Close,Volume
2022-03-08,38098.00390625,39071.921875,38082.4453125,38646.4140625,38646.4140625,36516179
2022-03-09,38646.4140625,42335.75,38623.33203125,42006.9375,42006.9375,40412713
2022-03-10,42006.9375,42016.05078125,38893.77734375,39470.33984375,39470.33984375,41250948
2022-03-11,39470.33984375,40041.21875,38400.1953125,38848.67578125,38848.67578125,35278683
2022-03-12,38848.67578125,39260.234375,38837.09375,38938.35546875,38938.35546875,18246533
2022-03-13,38938.35546875,39232.55078125,37725.9765625,37791.60546875,37791.60546875,19069482
2022-03-14,37792.9921875,39649.49609375,37761.74609375,39593.55078125,39593.55078125,26143298
2022-03-15,39593.55078125,39732.125,38338.20703125,39348.515625,39348.515625,25208163
2022-03-16,39348.515625,41233.91015625,39032.0546875,41095.08203125,41095.08203125,52724855
2022-03-17,41095.08203125,41257.49609375,40664.953125,40977.06640625,40977.06640625,37708155
2022-03-18,40977.06640625,42031.8125,40340.203125,41769.60546875,41769.60546875,23207005
2022-03-19,41769.60546875,42251.359375,41603.89453125,42152.38671875,42152.38671875,20768242
2022-03-20,42152.38671875,42215.8515625,40954.5390625,41262.890625,41262.890625,19773950
2022-03-21,41262.890625,41433.4140625,40685.1796875,41059.71875,41059.71875,27975813
2022-03-22,41059.71875,43037.5234375,41007.10546875,42302.8046875,42302.8046875,35949162
2022-03-23,42302.8046875,42769.87109375,41869.0234375,42769.87109375,42769.87109375,28687728
2022-03-24,42769.7109375,44067.22265625,42729.05078125,43932.41796875,43932.41796875,28489737
2022-03-25,43932.41796875,44901.2890625,43748.7421875,44341.99609375,44341.99609375,29329467
2022-03-26,44341.99609375,44648.28125,44134.98046875,44438.12890625,44438.12890625,17337917
2022-03-27,44438.12890625,46805.64453125,44428.28515625,46672.1328125,46672.1328125,25568621
2022-03-28,46672.1328125,47985.38671875,46652.9375,47169.7109375,47169.7109375,32582966
2022-03-29,47169.7109375,48009.56640625,47051.28125,47437.33203125,47437.33203125,28207518
2022-03-30,47437.33203125,47593.06640625,46721.58984375,47068.140625,47068.140625,27081782
2022-03-31,47068.140625,47517.30078125,45440.14453125,45462.41015625,45462.41015625,30939406
2022-04-01,45462.41015625,46569.921875,44403.82421875,46259.3984375,46259.3984375,38317432
2022-04-02,46260.5625,46878.55078125,45869.62109375,45979.56640625,45979.56640625,36701530
2022-04-03,45979.56640625,47234.31640625,45618.15234375,46510.95703125,46510.95703125,30309015
2022-04-04,46508.2421875,46746.58984375,45289.21875,46703.37109375,46703.37109375,31384223
2022-04-05,46703.37109375,46950.58203125,45619.76953125,45619.76953125,45619.76953125,29971713
2022-04-06,45619.76953125,45663.12890625,43353.921875,43353.921875,43353.921875,43188017
2022-04-07,43353.921875,43868.59765625,42983.06640625,43564.6484375,43564.6484375,37510953
2022-04-08,43564.6484375,43847.98046875,42177.1015625,42263.1171875,42263.1171875,34637511
2022-04-09,42256.99609375,42754.484375,42218.7890625,42747.203125,42747.203125,19800987
2022-04-10,42746.73046875,43387.328125,42091.140625,42263.77734375,42263.77734375,21347847
2022-04-11,42262.4921875,42330.42578125,39484.36328125,39588.4140625,39588.4140625,48545825
2022-04-12,39588.4140625,40603.32421875,39405.4375,40061.84375,40061.84375,48538860
2022-04-13,40061.6953125,41341.703125,39697.43359375,41211.11328125,41211.11328125,47606592
2022-04-14,41212.48828125,41425.00390625,39770.98046875,39929.55859375,39929.55859375,24924918
2022-04-15,39929.5546875,40522.81640625,39853.51171875,40453.81640625,40453.81640625,18832365
2022-04-16,40454.9140625,40604.78515625,40104.36328125,40482.91796875,40482.91796875,15541065
2022-04-17,40482.91796875,40553.82421875,39624.8046875,39681.63671875,39681.63671875,18691441
2022-04-18,39681.63671875,40948.96484375,38797.33984375,40883.36328125,40883.36328125,36544435
2022-04-19,40883.3671875,41604.8359375,40637.73046875,41465.984375,41465.984375,29448321
2022-04-20,41465.98828125,42088.8203125,40970.32421875,41404.29296875,41404.29296875,30713033
2022-04-21,41404.9140625,42765.96875,40157.47265625,40370.16015625,40370.16015625,44641566
2022-04-22,40370.16015625,40805.16796875,39451.94140625,39675.109375,39675.109375,42866450
2022-04-23,39676.0546875,39911.8984375,39372.421875,39525.52734375,39525.52734375,25036967
2022-04-24,39525.5,39803.93359375,39280.078125,39503.859375,39503.859375,20596831
2022-04-25,39503.8515625,40437.8828125,38383.2890625,40341.30078125,40341.30078125,41594644
2022-04-26,40341.30078125,40632.71484375,37899.8984375,38037.67578125,38037.67578125,46403529
2022-04-27,38037.67578125,39244.953125,38027.77734375,39104.08203125,39104.08203125,41765201
2022-04-28,39104.0859375,40223.27734375,39026.30859375,39769.01171875,39769.01171875,43111356
